@RELATION bird_calls
@ATTRIBUTE frame_number NUMERIC
@ATTRIBUTE mfcc0 NUMERIC
@ATTRIBUTE mfcc1 NUMERIC
@ATTRIBUTE mfcc2 NUMERIC
@ATTRIBUTE mfcc3 NUMERIC
@ATTRIBUTE mfcc4 NUMERIC
@ATTRIBUTE mfcc5 NUMERIC
@ATTRIBUTE mfcc6 NUMERIC
@ATTRIBUTE mfcc7 NUMERIC
@ATTRIBUTE mfcc8 NUMERIC
@ATTRIBUTE mfcc9 NUMERIC
@ATTRIBUTE mfcc10 NUMERIC
@ATTRIBUTE mfcc11 NUMERIC
@ATTRIBUTE mfcc12 NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE variation NUMERIC
@ATTRIBUTE flux NUMERIC
@ATTRIBUTE zcr NUMERIC
@ATTRIBUTE flatness NUMERIC
@ATTRIBUTE spectral_stats0 NUMERIC
@ATTRIBUTE spectral_stats1 NUMERIC
@ATTRIBUTE spectral_stats2 NUMERIC
@ATTRIBUTE spectral_stats3 NUMERIC
@ATTRIBUTE rolloff NUMERIC
@ATTRIBUTE class {crow}
@DATA
0,0.959562793808,-0.950229304106,-1.54219319483,-0.837701588838,0.829830615088,-0.0480084409892,-0.326238768482,-0.754008249316,0.265465526586,0.273167543802,0.0829333746933,0.510983628992,-0.305169539009,659.40815823,0.0,0.0,0.046875,0.242907813596,75.9623339841,89.5813994446,2.71732059693,0.666748829197,5038.76953125,crow
1,1.37951470705,-1.92097204651,-1.67595290579,-0.340788545813,0.287176770246,-0.595848680804,-0.255850626529,-0.689238932974,0.36771170779,0.122086214758,0.238298742808,0.322630230298,-0.194107145594,1880.50149379,0.117008159834,0.477768484012,0.0771484375,0.21293444464,66.7426940873,87.8522631881,3.08638179107,4.472841873,4694.23828125,crow
2,0.773542784655,-2.37901005555,-1.89994175025,-0.418506412712,0.359587904063,-0.360118105549,-0.396649235848,-1.10136723289,0.0116644594223,-0.15457285452,0.189839789014,0.686222880129,-0.0541305017707,3182.31022439,0.0884276898614,1.09405008403,0.0595703125,0.180960876881,63.3388098956,81.1364278541,3.35054994632,6.24246315356,4435.83984375,crow
3,0.151072361953,-2.70318813431,-1.78586638208,-0.454666717634,0.0209770974821,-0.394304032785,-0.684990825327,-1.25941015784,0.236288905169,-0.215910388192,0.0959064880049,0.496485185423,-0.123054238718,4785.44695505,0.151561085419,0.481114852881,0.0595703125,0.181215127515,65.6769461974,77.8497285811,3.3693993844,5.58855599363,4909.5703125,crow
4,-0.035420581827,-2.70177231348,-1.67927525772,0.0440263280769,0.230560750761,-0.466323237891,-0.724259626325,-1.16389027804,0.191221804244,-0.15220332959,0.422024391751,0.752280875973,0.32374114377,5774.41149607,0.157431452852,0.325887730157,0.0625,0.175124155926,65.9253817918,75.5366618929,3.3564297495,5.02381840438,5124.90234375,crow
5,-0.138539842324,-2.78648916847,-1.63501155793,-0.137254669506,0.0292313012555,-0.271748461493,-0.448601379958,-0.991563325524,0.279004148939,0.145016286129,0.666083946142,0.907816460155,0.526233519293,6679.53035108,0.282891274922,0.566973671583,0.064453125,0.174047015377,66.0999051,73.5242405178,3.34148518493,4.59649980604,5124.90234375,crow
6,-0.729687697324,-3.04714768467,-1.85676253461,-0.368192820976,0.0642493418052,-0.298383713024,-0.891207681821,-1.22778954427,0.215915337027,0.0245375777807,0.855087682283,1.23596673872,0.47749256614,7962.51742081,0.223442385809,0.629734690405,0.0576171875,0.151889286372,63.756724129,68.9411495501,3.41341143819,5.12742231191,4995.703125,crow
7,-0.657778167955,-2.65611243931,-1.73389574265,-0.347202750762,0.100830368075,-0.311553557301,-0.728414450025,-1.03268006971,0.204986274484,0.0333913907145,0.938075338737,1.23420613024,0.397887343748,9671.42592834,0.101529972818,0.226914495953,0.0556640625,0.161659900159,64.5209383746,71.0429490866,3.23154926643,3.98037591451,5167.96875,crow
8,-0.458103703436,-2.55706432643,-1.87869461748,-0.512116022289,0.0999563533084,-0.348927518029,-0.861833529287,-1.0202124632,0.109569428495,0.0116148429667,1.0064780168,1.13842672134,0.26004800029,12056.5071984,0.0254917096395,0.136560458115,0.0634765625,0.147682875022,60.6124324139,69.7280182882,3.48207287441,6.87554713381,3919.04296875,crow
9,-0.568574352876,-2.81226471348,-2.16103036086,-0.624307329046,0.112485218465,-0.480179679923,-0.956617904142,-0.858693973982,0.367892741986,0.305757984626,1.41145677862,1.24119380007,0.139874075346,14223.4078896,0.0278359154492,0.163871038552,0.0625,0.123745248589,54.4347031599,63.8364145014,3.75177567115,9.86407549889,1894.921875,crow
10,-0.797040423981,-2.66674158426,-2.09234035015,-0.595898133569,0.107796477472,-0.357304282511,-0.882274032319,-0.94525555885,0.434668203266,0.258677447945,1.32803185385,1.32703182604,0.331544433811,14178.195531,0.0165369181152,0.0641915883409,0.0634765625,0.140463098,59.5603955891,68.5069942807,3.47836656667,6.94772670522,3100.78125,crow
11,-0.981379347087,-2.50776642959,-1.81535785869,-0.618072502196,0.260560096752,-0.438324038799,-1.0132315942,-0.922999960627,0.469856781583,-0.000961144007575,1.1629936909,1.28571714523,0.239352721444,12763.6596073,0.0159528504365,0.114180001635,0.068359375,0.13922395624,62.4424044574,67.6084968219,3.40568656025,5.54108902249,4952.63671875,crow
12,-1.06477952678,-2.70370473898,-1.70501643997,-0.647389649335,0.0998267423664,-0.401085490049,-0.88855041037,-0.876240934599,0.40012045586,-0.0204724024248,1.05797046217,1.20466144231,0.217547448279,12077.1737,0.0333377720696,0.0770018571892,0.060546875,0.14135055962,64.0103124889,67.5828502054,3.36883702657,4.47766148344,5038.76953125,crow
13,-0.933717341918,-2.93497214428,-1.74101813741,-0.373312417307,0.314904276592,-0.300456283223,-0.903236434535,-0.869024261156,0.537561326921,0.215853611608,1.17100493301,1.57067938217,0.659312747162,10490.7687017,0.0409374264257,0.0827365182787,0.0615234375,0.14555207351,62.6938624783,67.8457211612,3.48734790898,5.81044640509,4909.5703125,crow
14,-0.9336710774,-2.68605678381,-1.6550246941,-0.213176153005,0.209250166586,-0.504673731385,-0.947136414776,-1.04775147919,0.317248401811,0.104907758805,0.98197042742,1.33267802262,0.56884253517,7720.34566294,0.0568823289451,0.125020768865,0.0703125,0.157122845667,66.4943155453,70.2554342725,3.2295344575,3.04435505464,5124.90234375,crow
15,-0.936084108587,-2.42970028215,-1.35524309276,-0.149199420338,0.24394936981,-0.536579119436,-0.812698653362,-0.903512728451,0.311071846468,0.196306393805,0.945521732402,1.37616961395,0.765204022252,6390.38587649,0.0422411731363,0.13877591541,0.078125,0.154064677321,68.8286968805,68.6009549394,3.19904854233,1.5727372859,5469.43359375,crow
16,-1.27062606548,-3.03417370423,-1.51514867058,-0.436508881705,-0.0476557120964,-0.537640283417,-1.0672475079,-1.27559384679,0.108948779585,0.00331443100882,0.817554906161,1.2971032206,0.574600445053,6352.56141661,0.0924328923583,0.226717052212,0.083984375,0.176717572041,71.7792288752,73.3634967459,3.16004218513,1.27951254691,5426.3671875,crow
17,-1.07513454096,-2.94509603018,-1.27625035739,-0.197714231522,0.135191982619,-0.460943002677,-0.810945968099,-1.10722861222,0.159120605268,0.121055176917,0.807456114056,1.10533206296,0.504774130551,6145.88389967,0.117832890042,0.243472624752,0.0849609375,0.174608164582,71.0633896591,71.6598044126,3.21768747114,1.26758564345,5383.30078125,crow
18,-0.775835946164,-2.91203855139,-1.40155734492,-0.162233865867,0.108711709599,-0.486112894867,-0.960880059743,-1.19295501809,0.122663843898,-0.0687527001768,0.757587161768,0.993287725745,0.480612835469,6088.89052378,0.0556169879263,0.144816991549,0.0810546875,0.162972151428,67.7700219122,70.3344412845,3.39368979475,3.61982906817,5297.16796875,crow
19,-1.00079048008,-2.80230523235,-1.4212669323,-0.649090940878,0.0423356286204,-0.671482189106,-0.945250044491,-1.34505126622,-0.0168444357189,-0.212660687982,0.695652805046,1.02271152221,0.485462115286,6561.96796489,0.0979414215385,0.212141588009,0.07421875,0.167026511279,71.3378848786,70.6566625424,3.17235146307,0.706049582815,5383.30078125,crow
20,-0.467747024577,-2.82215685701,-1.54628764266,-0.335167513948,0.0893355020745,-0.727410973943,-0.678719739294,-0.957467554625,0.29212601866,0.135760678257,0.723915685961,0.923070699926,0.61034002933,6334.36181895,0.124335939675,0.263735749645,0.0751953125,0.163610144689,66.3413527201,69.3061271362,3.35339698657,3.62260717685,5167.96875,crow
21,-0.244284655388,-2.902950875,-1.67795301144,-0.199681619274,0.24247359866,-0.676221519192,-0.919267120941,-1.04105350004,0.0302331475688,-0.298698679211,0.482989910918,0.533114082397,0.135192738445,6272.56037634,0.167959988133,0.362039181159,0.0849609375,0.156368017167,63.9001574257,70.3196999607,3.51137810628,5.84047857626,4780.37109375,crow
22,-0.361848724918,-2.9731288814,-1.64378603021,-0.553969597899,0.233612391737,-0.6165380739,-0.926020626978,-1.20046902285,0.029882786081,-0.229505034892,0.306563577686,0.521893978262,0.265738019852,7474.07167208,0.0917656896005,0.183535201557,0.0810546875,0.151097599657,62.7079207619,68.8920962698,3.55997312458,6.11111007976,4651.171875,crow
23,-0.351731326849,-2.60516209472,-1.73188962133,-0.545089414742,0.17395024308,-0.634074401876,-0.60429254741,-1.22440030686,-0.0566409294407,-0.0313773290481,0.432964154268,0.577571225298,0.406382578379,7985.41854072,0.166380975458,0.384677996973,0.07421875,0.177796244337,67.8763033963,72.3525807015,3.12912954521,2.16087947558,5081.8359375,crow
24,0.138975849931,-2.79568137016,-1.95464166732,-0.618218404032,0.292713918046,-0.689179279797,-0.922253728301,-1.18710690768,-0.287604506738,-0.046478033226,0.478972394301,0.51599868711,-0.111210839956,7436.2853607,0.213952397616,0.545433633939,0.0673828125,0.14587324572,59.3811233033,69.3142103806,3.58693085715,7.60927783301,4435.83984375,crow
25,0.160112831909,-2.44898870654,-1.92542519573,-0.592994384381,0.490888892146,-0.48981942419,-0.737327004138,-1.02553035188,-0.0646151730444,-0.0664791639313,0.37709325144,0.4091550846,-0.121659785558,7217.17908841,0.191647993476,0.403994313329,0.0595703125,0.172694255821,63.2914256139,76.2065201038,3.36605385292,5.91042503994,4306.640625,crow
26,0.246362804986,-2.86915182258,-1.86501632551,-0.493300823138,0.606764264323,-0.598989195156,-0.749211739826,-0.822424795844,0.0219826814771,-0.0348458028067,0.321062833808,0.428639659013,-0.0401283290178,7358.88780606,0.1437477659,0.291087452624,0.0595703125,0.154289476144,59.0339847569,71.385452963,3.71276904523,8.78970475022,3402.24609375,crow
27,0.33250326454,-2.17565860287,-1.80805950825,-0.573181240437,0.777408043759,-0.626086706796,-0.951117144766,-0.920032229493,0.095272819139,-0.0642528082954,0.296074488387,0.367720983705,-0.253560721942,6868.32184587,0.114366406584,0.233850373138,0.0595703125,0.167373044391,63.1691369652,75.2074664078,3.42118851801,6.20846203633,4392.7734375,crow
28,0.391986506444,-2.09636276264,-1.73080336512,-0.408999723907,1.00650613823,-0.351747731369,-0.865563211318,-0.829721845357,0.060385760433,-0.096644453347,0.0909988463625,0.180881106625,-0.366193539084,7105.20869783,0.114893463725,0.233066713628,0.05859375,0.185580718785,65.2049561308,80.3621526378,3.27598124891,5.19224951564,3919.04296875,crow
29,0.401969270564,-2.2829259954,-1.53566861494,-0.543898241923,0.9835974294,-0.308007922718,-0.822401837125,-0.644309212813,0.117545450499,0.32976591619,0.201242845197,0.0325192155396,-0.621530960615,6754.52062879,0.225749930299,0.454147675767,0.056640625,0.198170834917,66.4154973974,85.5147378452,3.21991313991,4.97824115744,3186.9140625,crow
30,0.182891754121,-2.02407993158,-1.63964363699,-0.70139247103,0.925103651608,-0.105581155575,-0.551992737318,-0.72710288134,-0.241224251663,0.132456047079,0.448024070697,0.240796850478,-0.402264095504,4685.92889348,0.301833061213,0.736878380157,0.056640625,0.212042040602,70.0845707058,87.4185235576,3.06520269472,3.61997383974,4392.7734375,crow
31,0.693436212998,-1.493003763,-1.19569799636,-0.639721561133,0.961492997527,0.0154732211829,-0.613725732342,-0.601458986721,-0.17050966491,0.157214051297,0.33133505465,-0.00225997852929,-0.154666127648,2586.13654861,0.202509641872,0.911909223695,0.056640625,0.194629999009,68.2650694967,76.41263711,3.02069395696,2.25469927515,4478.90625,crow
32,0.958396288615,-1.78543588474,-1.15707592516,-0.592544154448,1.32348915992,0.250693955301,-0.47116962828,-0.72803030573,0.231035724233,-0.124153385417,0.191138756293,0.0530129002746,-0.402949593509,1601.37335133,0.233359701711,0.59055484483,0.0595703125,0.207352753201,66.9948058903,83.6071081888,3.09731375241,3.88357922705,3962.109375,crow
33,1.28882560664,-1.68380018009,-0.719097453596,-0.486545122601,0.957905074802,0.181083898014,-0.561373138391,-0.579700456589,0.0299540805935,-0.0173516132364,-0.0507526782874,0.30440540835,-0.235590402573,1018.23087473,0.203580276475,1.00845754091,0.0703125,0.301796060014,82.8989369455,106.832830473,2.41810731168,-0.601199870519,4220.5078125,crow
34,1.2558601847,-1.56598948138,-0.636741685717,0.067037973583,1.2428692073,0.300715597752,-0.585042912734,-0.763813028558,0.0923489446812,-0.357513199832,-0.164494982199,0.174909409955,-0.2101266412,675.083621122,0.141563845627,0.303654333133,0.08203125,0.297971490564,83.0869845533,106.764815329,2.38388077981,-0.814523537938,4823.4375,crow
35,1.08127748915,-2.10402006333,-0.980347002471,-0.136127573863,1.19913755869,0.42217410925,-0.327223567494,-0.539175986328,0.628162034747,-0.0185578422267,-0.0721549925291,0.393509078366,-0.228298798281,656.362466553,0.131337552006,0.262676505797,0.080078125,0.305806199786,85.7108971731,111.600755859,2.29237172327,-1.22790252623,4134.375,crow
36,1.16949580295,-1.83822909643,-1.03663685172,-0.225907568276,1.23034427639,-0.0188491682479,-0.580406223491,-0.510101990295,0.185906893677,-0.320070849696,-0.188897643656,0.0535751161743,-0.243431984939,541.024940579,0.0868357731765,0.188814587352,0.0810546875,0.317195340555,86.7373745567,110.792357327,2.2394447907,-1.73782996135,4478.90625,crow
37,0.967131934931,-1.93826737695,-0.632974217407,0.0532763426645,0.95384742928,0.0231536180754,-0.556896003712,-0.408068118059,0.204768347856,-0.364702335136,-0.0869943596568,0.26956929091,-0.0248037898239,390.264453608,0.180751055427,0.56572094629,0.0869140625,0.398105383456,103.833413107,125.125372412,1.82847068163,-4.72033968525,7321.2890625,crow
38,0.925228250718,-1.38072884135,-0.570769334619,0.146341105118,0.796606479143,0.0978065731258,-0.669197859948,-0.440752276136,0.323489645731,-0.0900802265595,0.441634959488,0.476901626705,-0.00054384373098,328.710081048,0.149205170325,0.341306511288,0.0869140625,0.426341228413,107.829227476,126.558275602,1.73297897802,-5.56989159311,10249.8046875,crow
39,0.785956632944,-2.0438126935,-1.06398939803,-0.0193889271531,0.319087184912,0.146251353072,-0.318247850579,-0.690800679965,0.251142877037,-0.000405458325979,0.153849139119,0.590707454735,0.209290466858,315.230231153,0.188291436248,0.38032951313,0.1005859375,0.423009488576,111.932553511,133.713009909,1.59642035931,-5.84372697736,12661.5234375,crow
40,0.627080439954,-1.84678489898,-0.746750033468,0.0456691413067,0.833547693842,0.0786315976204,-0.409926965626,-0.528601220415,0.357862517684,-0.238046421569,-0.163301249703,0.410444754055,-0.189393928306,330.694609579,0.105200110607,0.231757295338,0.119140625,0.447995565535,117.018933955,131.850507368,1.53586354588,-7.25236764568,13565.9179688,crow
41,0.589585797983,-2.01727050193,-0.896113827401,0.00377244620917,1.18909583182,0.642053970983,-0.481343416778,-0.35295061446,0.436897883235,0.0767165284546,0.00819497435342,0.0378198588064,-0.267723780811,349.532503071,0.217341848309,0.604730111916,0.0849609375,0.388234964667,104.657523968,126.713228959,1.78463659663,-4.82440294074,5297.16796875,crow
0,1.41161215745,-1.13012362618,-0.810356383547,-0.32033273069,0.651679769071,0.358602416543,-0.0729113809797,-0.0371246456524,-0.182354148954,-0.263298898428,-0.0573926329238,0.272036630612,-0.113528429543,1181.66404367,0.0,0.0,0.0439453125,0.456062385634,102.580642185,119.431686878,1.74353243688,-5.4660213357,8268.75,crow
1,0.826768085716,-1.3305193575,-1.7285986847,-1.0012757131,1.05558573003,0.0249250775254,-0.400534698745,-0.573102155233,0.172198531468,0.0691034145635,0.112919766487,0.554722077896,-0.418438020289,1971.91229957,0.196658981265,1.90541205985,0.0712890625,0.217108645834,73.8776455603,85.9811194789,2.77649579615,1.1146047646,4995.703125,crow
2,1.05412084608,-2.25294203467,-1.5700674092,-0.357247780209,0.340492075973,-0.479325195324,-0.226884279949,-0.550530481089,0.3597366534,0.242002054028,0.372051371906,0.220682301737,-0.557792531253,2819.63224968,0.146099883351,0.409233564393,0.0595703125,0.174200435041,62.0827857771,76.809455751,3.4477829203,6.90751173465,4521.97265625,crow
3,0.0423163521732,-2.44612068275,-1.72052166393,-0.54786577149,0.0504102073581,-0.802910159207,-0.867976746837,-1.08406177919,0.283259458605,-0.107915396679,0.318693179899,0.73205073105,0.000187251441996,4368.03048718,0.21096736751,0.501113202716,0.068359375,0.188638895219,69.1441729559,77.7297833211,3.23941954422,3.89692234668,5124.90234375,crow
4,0.130632303162,-2.55021560722,-1.83520321252,-0.345747532575,0.263154219585,-0.381936050447,-0.604638861736,-0.876378854418,0.443138213,-0.0397225982243,0.34566756592,0.616076962494,0.049490825397,5867.27332094,0.152833281645,0.628115780145,0.072265625,0.167160594801,63.9079961531,71.6593369632,3.37876805311,5.19273800642,5038.76953125,crow
5,-0.38256888434,-2.56103994402,-1.66406252075,-0.234633757177,0.173513951515,-0.323338768276,-0.495269738824,-0.913775264562,0.355538189303,0.185885540251,0.777774537047,1.03572548612,0.564819772231,6610.52078352,0.161267359673,0.327773714167,0.0712890625,0.172209259796,68.1618473038,71.702683679,3.1797312846,2.4755480638,5469.43359375,crow
6,-0.679729465372,-2.81946853531,-2.02719531155,-0.641563022761,-0.113183074644,-0.55065538485,-0.97265944295,-1.14053942703,0.0409358921658,-0.257466790946,0.444633259735,0.735135994605,0.238767727979,7706.35791699,0.126930601379,0.292474685871,0.068359375,0.159714134186,67.2111677919,70.8695012363,3.19840722436,2.76995353864,5340.234375,crow
7,-0.612564113686,-2.65026157864,-1.77398648278,-0.600494651885,-0.0450969410335,-0.187090528171,-0.8360182839,-0.981629564576,0.137607898828,-0.13938740039,0.722620201757,1.02698901596,0.202530386774,9122.9245434,0.111632598949,0.254719772518,0.0634765625,0.157642844969,66.446294468,69.5947477319,3.21274623523,2.96463384707,5297.16796875,crow
8,-0.824848641887,-2.6706424787,-1.5549698613,-0.531455942932,0.101418278314,-0.0804245548347,-0.703122537056,-0.880043542309,0.377032115881,0.133345007382,1.08795111368,1.28599068949,0.297342766632,10006.7483603,0.0751552410485,0.150906481182,0.056640625,0.145535327185,65.5767005942,66.8334466397,3.30171051833,3.20955608937,5167.96875,crow
9,-0.905869882685,-2.72374073984,-1.88348017496,-0.655899747938,0.116498110513,-0.418576285895,-1.02876291125,-1.08087412904,0.275396333045,-0.0757410002316,0.970296485299,1.1268119009,0.228142569757,10541.2990661,0.108664886632,0.218020344853,0.0537109375,0.150274277521,65.8246642594,68.3061630898,3.26202439807,3.23689102461,5167.96875,crow
10,-0.599079276824,-2.8262328512,-1.68649599809,-0.543883951131,0.279422314626,-0.147638358541,-0.719250803193,-0.811343530537,0.463195937265,0.17342018471,1.14614672295,1.33772925244,0.310807922723,10583.3125157,0.0384473280943,0.0803681650876,0.056640625,0.146839718104,62.4951786966,66.8057299179,3.42570856394,5.14604207806,4909.5703125,crow
11,-0.975643779213,-2.93040672407,-1.98552196293,-0.600834238783,0.100839943047,-0.501001140379,-0.943706646905,-1.08173260931,0.311493532588,0.121892578757,1.16854113423,1.2696496642,0.400466409227,9291.67091799,0.0228022659823,0.0461510865558,0.0634765625,0.157006402352,64.9656635125,70.2436872315,3.28356037969,4.04943768996,5038.76953125,crow
